=== PIPELINE DEPTH: 1 ===
2         Threads
20        Connections per thread
20000     Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        48354.97          ---          ---        31.67222         0.68700         1.79100         7.00700      3730.24 
Gets         5372.77         8.06      5364.72        15.78680         0.67900         1.77500         7.13500       204.59 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      53727.75         8.06      5364.72        30.08368         0.68700         1.79100         7.03900      3934.83 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.039        0.000
SET       0.423        5.000
SET       0.479       10.000
SET       0.511       15.000
SET       0.543       20.000
SET       0.567       25.000
SET       0.591       30.000
SET       0.615       35.000
SET       0.639       40.000
SET       0.663       45.000
SET       0.687       50.000
SET       0.695       52.500
SET       0.711       55.000
SET       0.719       57.500
SET       0.735       60.000
SET       0.743       62.500
SET       0.759       65.000
SET       0.775       67.500
SET       0.791       70.000
SET       0.807       72.500
SET       0.823       75.000
SET       0.831       76.250
SET       0.847       77.500
SET       0.855       78.750
SET       0.871       80.000
SET       0.879       81.250
SET       0.895       82.500
SET       0.911       83.750
SET       0.935       85.000
SET       0.951       86.250
SET       0.975       87.500
SET       0.983       88.125
SET       0.999       88.750
SET       1.015       89.375
SET       1.031       90.000
SET       1.047       90.625
SET       1.063       91.250
SET       1.079       91.875
SET       1.095       92.500
SET       1.119       93.125
SET       1.143       93.750
SET       1.151       94.062
SET       1.167       94.375
SET       1.183       94.688
SET       1.199       95.000
SET       1.215       95.312
SET       1.231       95.625
SET       1.247       95.938
SET       1.271       96.250
SET       1.287       96.562
SET       1.319       96.875
SET       1.327       97.031
SET       1.343       97.188
SET       1.359       97.344
SET       1.383       97.500
SET       1.399       97.656
SET       1.423       97.812
SET       1.447       97.969
SET       1.479       98.125
SET       1.519       98.281
SET       1.559       98.438
SET       1.583       98.516
SET       1.607       98.594
SET       1.639       98.672
SET       1.671       98.750
SET       1.703       98.828
SET       1.743       98.906
SET       1.783       98.984
SET       1.831       99.062
SET       1.887       99.141
SET       1.959       99.219
SET       1.999       99.258
SET       2.047       99.297
SET       2.095       99.336
SET       2.159       99.375
SET       2.223       99.414
SET       2.287       99.453
SET       2.367       99.492
SET       2.463       99.531
SET       2.559       99.570
SET       2.671       99.609
SET       2.735       99.629
SET       2.831       99.648
SET       2.927       99.668
SET       3.039       99.688
SET       3.167       99.707
SET       3.327       99.727
SET       3.487       99.746
SET       3.679       99.766
SET       3.855       99.785
SET       4.191       99.805
SET       4.415       99.814
SET       4.575       99.824
SET       4.767       99.834
SET       4.959       99.844
SET       5.279       99.854
SET       5.439       99.863
SET       5.855       99.873
SET       6.271       99.883
SET       6.719       99.893
SET       7.135       99.902
SET       7.295       99.907
SET       7.391       99.912
SET       7.615       99.917
SET       7.967       99.922
SET       8.767       99.927
SET       9.279       99.932
SET      10.047       99.937
SET      10.623       99.941
SET      10.943       99.946
SET      11.327       99.951
SET      11.455       99.954
SET      11.647       99.956
SET      11.967       99.958
SET      12.095       99.961
SET      12.607       99.963
SET      13.439       99.966
SET      14.271       99.968
SET      14.783       99.971
SET      15.295       99.973
SET      15.487       99.976
SET      15.679       99.977
SET      16.191       99.978
SET      16.895       99.979
SET      18.047       99.980
SET      18.303       99.982
SET      18.431       99.983
SET      19.199       99.984
SET      19.711       99.985
SET      20.863       99.987
SET      23.167       99.988
SET      27.007       99.988
SET      27.135       99.989
SET      29.567       99.990
SET      30.975       99.990
SET      32.383       99.991
SET      42.495       99.991
SET      42.495       99.992
SET      42.751       99.993
SET      42.751       99.993
SET      47.871       99.994
SET      48.127       99.994
SET      57.599       99.995
SET      57.855       99.995
SET    603979.750       99.995
SET    603979.750      100.000
---
GET       0.055        0.000
GET       0.423        5.000
GET       0.479       10.000
GET       0.511       15.000
GET       0.543       20.000
GET       0.567       25.000
GET       0.591       30.000
GET       0.615       35.000
GET       0.639       40.000
GET       0.663       45.000
GET       0.679       50.000
GET       0.695       52.500
GET       0.703       55.000
GET       0.719       57.500
GET       0.735       60.000
GET       0.743       62.500
GET       0.759       65.000
GET       0.775       67.500
GET       0.791       70.000
GET       0.807       72.500
GET       0.823       75.000
GET       0.831       76.250
GET       0.839       77.500
GET       0.855       78.750
GET       0.863       80.000
GET       0.879       81.250
GET       0.895       82.500
GET       0.911       83.750
GET       0.927       85.000
GET       0.943       86.250
GET       0.967       87.500
GET       0.983       88.125
GET       0.991       88.750
GET       1.007       89.375
GET       1.023       90.000
GET       1.039       90.625
GET       1.055       91.250
GET       1.071       91.875
GET       1.095       92.500
GET       1.119       93.125
GET       1.143       93.750
GET       1.159       94.062
GET       1.167       94.375
GET       1.183       94.688
GET       1.191       95.000
GET       1.207       95.312
GET       1.223       95.625
GET       1.247       95.938
GET       1.263       96.250
GET       1.287       96.562
GET       1.311       96.875
GET       1.327       97.031
GET       1.343       97.188
GET       1.359       97.344
GET       1.375       97.500
GET       1.391       97.656
GET       1.415       97.812
GET       1.447       97.969
GET       1.479       98.125
GET       1.519       98.281
GET       1.551       98.438
GET       1.575       98.516
GET       1.599       98.594
GET       1.631       98.672
GET       1.655       98.750
GET       1.687       98.828
GET       1.727       98.906
GET       1.767       98.984
GET       1.807       99.062
GET       1.863       99.141
GET       1.927       99.219
GET       1.967       99.258
GET       2.007       99.297
GET       2.063       99.336
GET       2.095       99.375
GET       2.175       99.414
GET       2.271       99.453
GET       2.335       99.492
GET       2.383       99.531
GET       2.527       99.570
GET       2.655       99.609
GET       2.703       99.629
GET       2.783       99.648
GET       2.911       99.668
GET       3.023       99.688
GET       3.135       99.707
GET       3.231       99.727
GET       3.407       99.746
GET       3.599       99.766
GET       3.759       99.785
GET       3.887       99.805
GET       4.191       99.814
GET       4.319       99.824
GET       4.511       99.834
GET       4.703       99.844
GET       4.959       99.854
GET       5.471       99.863
GET       6.111       99.873
GET       6.623       99.883
GET       6.975       99.893
GET       7.167       99.902
GET       7.263       99.907
GET       7.359       99.912
GET       7.839       99.917
GET       8.255       99.922
GET       8.767       99.927
GET       9.279       99.932
GET       9.919       99.937
GET      10.175       99.941
GET      11.007       99.946
GET      11.135       99.951
GET      11.199       99.954
GET      11.263       99.956
GET      11.327       99.958
GET      11.519       99.961
GET      11.647       99.963
GET      11.775       99.966
GET      13.567       99.968
GET      13.695       99.971
GET      14.271       99.973
GET      14.975       99.976
GET      14.975       99.977
GET      14.975       99.978
GET      15.423       99.979
GET      15.487       99.980
GET      15.551       99.982
GET      15.935       99.983
GET      16.383       99.984
GET      18.303       99.985
GET      18.559       99.987
GET      19.071       99.988
GET      19.071       99.988
GET      19.711       99.989
GET      19.711       99.990
GET      20.351       99.990
GET      20.351       99.991
GET      20.863       99.991
GET      20.863       99.992
GET      23.167       99.993
GET      23.167       99.993
GET      32.383       99.994
GET      32.383       99.994
GET      32.383       99.995
GET      32.383       99.995
GET      42.495       99.995
GET      42.495       99.995
GET      42.495       99.996
GET      42.495       99.996
GET      42.751       99.996
GET      42.751       99.997
GET      42.751       99.997
GET      42.751       99.997
GET      42.751       99.997
GET      42.751       99.997
GET    603979.750       99.998
GET    603979.750      100.000
---
WAIT      0.000      100.000




=== PIPELINE DEPTH: 10 ===
2         Threads
20        Connections per thread
20000     Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets       326484.56          ---          ---         1.09256         0.97500         4.09500         8.83100     25185.95 
Gets        36276.06        54.41     36221.65         1.09256         0.97500         4.09500         8.83100      1381.38 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     362760.63        54.41     36221.65         1.09256         0.97500         4.09500         8.83100     26567.33 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.055        0.000
SET       0.487        5.000
SET       0.599       10.000
SET       0.671       15.000
SET       0.719       20.000
SET       0.767       25.000
SET       0.815       30.000
SET       0.855       35.000
SET       0.895       40.000
SET       0.935       45.000
SET       0.975       50.000
SET       0.991       52.500
SET       1.007       55.000
SET       1.031       57.500
SET       1.047       60.000
SET       1.071       62.500
SET       1.095       65.000
SET       1.119       67.500
SET       1.143       70.000
SET       1.167       72.500
SET       1.199       75.000
SET       1.223       76.250
SET       1.239       77.500
