=== PIPELINE DEPTH: 1 ===
2         Threads
20        Connections per thread
20000     Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        68832.35          ---          ---         0.52234         0.41500         1.95100         6.97500      5309.92 
Gets         7648.04        11.47      7636.57         0.51893         0.41500         1.87100         6.75100       299.08 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      76480.39        11.47      7636.57         0.52200         0.41500         1.93500         6.97500      5609.01 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.031        0.000
SET       0.303        5.000
SET       0.327       10.000
SET       0.343       15.000
SET       0.351       20.000
SET       0.359       25.000
SET       0.375       30.000
SET       0.383       35.000
SET       0.391       40.000
SET       0.399       45.000
SET       0.415       50.000
SET       0.423       52.500
SET       0.431       55.000
SET       0.439       57.500
SET       0.455       60.000
SET       0.463       62.500
SET       0.479       65.000
SET       0.495       67.500
SET       0.503       70.000
SET       0.527       72.500
SET       0.543       75.000
SET       0.551       76.250
SET       0.567       77.500
SET       0.575       78.750
SET       0.591       80.000
SET       0.607       81.250
SET       0.623       82.500
SET       0.647       83.750
SET       0.671       85.000
SET       0.695       86.250
SET       0.719       87.500
SET       0.735       88.125
SET       0.751       88.750
SET       0.775       89.375
SET       0.791       90.000
SET       0.807       90.625
SET       0.831       91.250
SET       0.855       91.875
SET       0.879       92.500
SET       0.903       93.125
SET       0.935       93.750
SET       0.959       94.062
SET       0.975       94.375
SET       0.991       94.688
SET       1.015       95.000
SET       1.039       95.312
SET       1.063       95.625
SET       1.095       95.938
SET       1.127       96.250
SET       1.159       96.562
SET       1.199       96.875
SET       1.223       97.031
SET       1.247       97.188
SET       1.271       97.344
SET       1.303       97.500
SET       1.343       97.656
SET       1.375       97.812
SET       1.423       97.969
SET       1.471       98.125
SET       1.527       98.281
SET       1.583       98.438
SET       1.623       98.516
SET       1.663       98.594
SET       1.711       98.672
SET       1.751       98.750
SET       1.799       98.828
SET       1.863       98.906
SET       1.935       98.984
SET       2.015       99.062
SET       2.111       99.141
SET       2.207       99.219
SET       2.271       99.258
SET       2.335       99.297
SET       2.399       99.336
SET       2.479       99.375
SET       2.559       99.414
SET       2.639       99.453
SET       2.767       99.492
SET       2.895       99.531
SET       3.023       99.570
SET       3.167       99.609
SET       3.295       99.629
SET       3.391       99.648
SET       3.471       99.668
SET       3.631       99.688
SET       3.775       99.707
SET       3.967       99.727
SET       4.191       99.746
SET       4.415       99.766
SET       4.575       99.785
SET       4.799       99.805
SET       4.927       99.814
SET       5.151       99.824
SET       5.311       99.834
SET       5.471       99.844
SET       5.631       99.854
SET       5.791       99.863
SET       6.047       99.873
SET       6.559       99.883
SET       6.783       99.893
SET       7.039       99.902
SET       7.167       99.907
SET       7.295       99.912
SET       7.455       99.917
SET       7.615       99.922
SET       7.999       99.927
SET       8.447       99.932
SET       8.639       99.937
SET       9.023       99.941
SET       9.471       99.946
SET       9.983       99.951
SET      10.047       99.954
SET      10.175       99.956
SET      10.559       99.958
SET      10.815       99.961
SET      10.943       99.963
SET      11.071       99.966
SET      11.135       99.968
SET      11.327       99.971
SET      11.519       99.973
SET      11.711       99.976
SET      11.839       99.977
SET      12.031       99.978
SET      12.287       99.979
SET      12.671       99.980
SET      12.863       99.982
SET      13.119       99.983
SET      13.503       99.984
SET      13.695       99.985
SET      13.951       99.987
SET      14.079       99.988
SET      14.079       99.988
SET      14.207       99.989
SET      14.399       99.990
SET      15.103       99.990
SET      15.743       99.991
SET      15.807       99.991
SET      15.871       99.992
SET      15.935       99.993
SET      16.191       99.993
SET      16.255       99.994
SET      16.383       99.994
SET      16.511       99.995
SET      16.511       99.995
SET      16.639       99.995
SET      18.175       99.995
SET      18.431       99.996
SET      18.431       99.996
SET      27.007       99.996
SET      27.263       99.997
SET      27.263       99.997
SET      27.263       99.997
SET      27.391       99.997
SET      27.519       99.997
SET      27.519       99.998
SET      27.519       99.998
